,0
grid station,電網站
infrared wire grid polarizers,紅外線柵偏振器
inorganic dielectric material,無機介電材料
inorganic polarization,無機極化
non dielectric material,非介電材料
optics,光學
organic polarization,有機極化
polarized capacitor,極化電容
polymer organic polarization,聚合物有機極化
polymer polarization,聚合物極化
polymer polarizing,聚合物偏光
projection display systems,投影顯示系統
reflect polarizer,反射偏光片
reflection suppression layer,反射抑制層
reflective polarizers,反射偏光片
threaded union nut,螺紋連接螺母
transparent organic polarization,透明有機極化
transparent polarization,透明偏振
wgp,工作組
wire crystal polarization,線晶極化
wire grating polarization,線柵極化
wire grid polarizing,線柵極化
wire stem,線莖
consist of wire grid,由線柵組成
grid polarizing,網格極化
pbs polarization,pbs極化
pbs polarizing,pbs偏光
polarizing,偏振
wire grid,線柵
distribution weir,分配堰
electrical duct,電氣管道
front wiring trough,前接線槽
influent well,進水井
intersecting wiring trough,相交線槽
rear edge,後緣
self elevating steel bar,自升式鋼筋
slot of wiring trough,線槽槽
trough wave,波谷波
universal joint sliding sleeve,萬向節滑套
wind driven generator,風力發電機
wire trough,線槽
wired keyboard,有線鍵盤
wireless computing,無線計算
wireless computing headset,無線計算耳機
wireless network,無線網絡
wiring chase,佈線追逐
wiring gutter,接線槽
wiring slots,接線槽
wiring trough,線槽
wiring trough fixedly,線槽固定
wiring trough removably,線槽可拆卸
wiring troughs,接線槽
cable compartments,電纜隔間
connector housing,連接器外殼
electrical gutter,電氣天溝
insulation chambers,保溫室
logic board assembly,邏輯板組裝
mesh wire,網絲
steel trough,鋼槽
switchboard box,配電箱
trough canal,槽渠
trough sink,槽式水槽
vertical wiring troughs,垂直線槽
water trough,水槽
wire harness trough,線束槽
wire rod,線材
wire trough clamp,線槽夾
wiring trough structure,走線槽結構
article generator,文章生成器
article spinner,文章微調器
combustion composition,燃燒成分
compressed wood,壓縮木
creosote,雜酚油
creosote composition,雜酚油組合物
creosote material,雜酚油材料
cricket bat,板球拍
heart articles,心臟文章
natural wood,天然木材
news article,新聞文章
plastic articles,塑料製品
timber product,木製品
wood articles,木製品
wood furniture,木製家具
wood material,木質材料
wood product,木製品
wood spray,木材噴霧
wooden article,木製品
wooden chair,木椅
wooden handle,木柄
wooden item,木製物品
article spinning,文章紡紗
article tracking system,物品追踪系統
copper bar surface machining,銅條表面加工
cylindrical carving machine,圓柱雕刻機
embossing device,壓花裝置
lumber article,木材文章
plywood article,膠合板文章
timber article,木製品
wood apple fruit,木蘋果果實
wood article,木製品
wood logs,原木
wood substrate,木質基材
wooden material,木質材料
wooden substrate,木質基材
