index,en,zh-tw
224,information value,信息價值
225,price he or she accepts,他或她接受的價格
226,receiving information,接收信息
227,sanction information,制裁信息
228,third option to accept,接受的第三個選項
229,transaction information,交易信息
230,undertake information,承接信息
231,achieve access,實現訪問
232,achieve authentication accuracy,達到認證準確性
233,achieve authorization,獲得授權
234,achieve goal,達到目標
235,achieve goals,實現目標
236,achieve local authentication,實現本地認證
237,achieve mutual authentication,實現相互認證
238,achieve success,取得成功
239,achieve target,達到目標
240,achieve the authentication requirement,達到認證要求
241,achieve verification,實現驗證
242,biometric,生物識別
243,denial of authorization,拒絕授權
244,denied access,拒絕訪問
245,encryption,加密
246,failed authorization request,授權請求失敗
247,login,登錄
248,multi factor authentication,多因素身份驗證
249,signature,簽名
250,target achieved,達到的目標
251,vehicle verification,車輛驗證
252,absorbent cotton,脫脂棉
253,absorption spectrum,吸收光譜
254,acid,酸
255,acid absorption column,酸吸收柱
256,acid absorption tower,酸吸收塔
257,acid digestion,酸消化
258,acid distillation,酸蒸餾
259,acid recovery,酸回收
260,acid stripping,酸洗
261,acid wash,酸洗
262,acid wash distillation,酸洗蒸餾
263,acid water distillation,酸水蒸餾
264,acid water wash,酸水洗
265,acrylic acid absorption,丙烯酸吸收
266,amino acids,氨基酸
267,catalytic hydrogenation,催化加氫
268,catalytic oxidation,催化氧化
269,chemical analysis,化學分析
270,chemical inhibition,化學抑制
271,h2so4 absorption,h2so4 吸收
272,hydro catalytic hydrogenation,加氫催化加氫
273,hydro catalytic oxidation,加氫催化氧化
274,hydrochloric acid absorption,鹽酸吸收
275,hydroformylation,加氫甲酰化
276,hydrogenation,氫化
277,hydroxycarboxylicacid absorption,羥基羧酸吸收
278,membrane catalytic hydrogenation,膜催化加氫
279,membrane catalytic oxidation,膜催化氧化
280,membrane hydrogenation,膜加氫
281,membrane oxidation,膜氧化
282,near infrared ray absorption,近紅外線吸​​收
283,nitric acid absorption,硝酸吸收
284,oxidation,氧化
285,oxidative hydrogenation,氧化加氫
286,oxide,氧化物
287,oxide distillation,氧化物蒸餾
288,oxide recovery,氧化物回收
289,oxide stripping,氧化剝離
290,oxide wash,氧化物洗滌
291,photon absorption,光子吸收
292,photosynthesis,光合作用
293,phytic acid,植酸
294,rosmarinic acid,迷迭香酸
295,sulfuric acid,硫酸
296,transdermal absorption,透皮吸收
297,absorption of acid,酸的吸收
298,absorption of carbohydrates,碳水化合物的吸收
299,absorption tower,吸收塔
300,acid absorption,酸吸收
301,acid adsorption,酸吸附
302,acid exchange,酸交換
303,acid gas distillation,酸性氣體蒸餾
304,acid gas exchange,酸性氣體交換
305,acid gas scrubbing,酸性氣體洗滌
306,acid immersion,酸浸
307,acid indigestion,胃酸過多
308,acid oxide distillation,酸性氧化物蒸餾
309,acid oxide scrubbing,酸性氧化物洗滌
310,acid purification,酸純化
311,acid rain,酸雨
312,acid reflux,酸回流
313,acid scrubbing,酸洗
314,acid water,酸水
315,acid water exchange,酸水交換
316,acidic foods,酸性食物
317,acidic immersion,酸浸
318,amino acid absorption,氨基酸吸收
319,chemical absorption,化學吸收
320,chemically soaked,化學浸泡
321,fertilizer absorption,肥料吸收
322,hcl acid absorption,鹽酸吸收
323,multi section connection pipe,多節連接管
324,oxide acid distillation,氧化酸蒸餾
325,oxide acid exchange,氧化酸交換
326,oxide exchange,氧化物交換
327,oxide gas distillation,氧化氣體蒸餾
328,oxide gas exchange,氧化物氣體交換
329,oxide gas scrubbing,氧化物氣體洗滌
330,oxide purification,氧化物淨化
331,oxide scrubbing,氧化物洗滌
332,oxide water,氧化水
333,oxide water distillation,氧化水蒸餾
334,oxide water exchange,氧化水交換
335,soil water absorption,土壤吸水率
336,spray washing bottle body,噴洗瓶身
337,steel structural member cleaning maintenance device,鋼結構構件清洗保養裝置
338,acknowledgement,致謝
339,communication protocol,通訊協議
340,data network,數據網絡
341,data networks,數據網絡
342,flad holder pole,扁平支架桿
343,flag,旗幟
344,flag hoist,升旗機
345,frame,框架
346,header,標題
347,indications of cystoscopy,膀胱鏡檢查指徵
348,indicative device,指示裝置
349,indicative message,指示性信息
350,indicator,指標
351,message,信息
352,message ringtone,短信鈴聲
353,red signal,紅色信號
354,signal,信號
355,telecommunication,電信
356,acknowledge,承認
357,address id,地址編號
358,bus acknowledge,總線確認
359,bus acknowledgement,總線確認
360,busy acknowledge,忙確認
361,busy path,繁忙的道路
362,flag pole,旗桿
363,frame flag,幀標誌
364,header id,標頭編號
365,liveness message,活力訊息
366,negative acknowledgement,否定確認
367,network,網絡
368,null data,空數據
369,positive acknowledgement,肯定的承認
370,positive acknowledgement packet,肯定確認包
371,provide for tuning,提供調優
372,provide restoring force,提供恢復力
373,provided acknowledgement,提供確認
374,provider networks,供應商網絡
375,server message,服務器消息
376,sms acknowledgement,短信確認
377,tcp acknowledgement,tcp 確認
378,window frame,窗框
379,acoustic effect,聲學效果
380,acoustic modulator,聲調製器
381,acoustic optical modulator,聲光調製器
382,acousto optic element,聲光元件
383,acousto optic modulating element,聲光調製元件
384,acousto optical element,聲光元件
385,acoustooptic,聲光
386,acoustooptic deflector,聲光偏轉器
387,amplifier,放大器
388,analog signal,模擬信號
389,beam support,梁支撐
390,electrical drive signal,電驅動信號
391,electrooptical,電光
392,electrooptical effect,電光效應
393,electrooptical modulator,電光調製器
394,isolator,隔離器
395,laser beam,激光束
396,light wave,光波
397,moderator reactor,慢化反應堆
398,modulator chemistry,調節劑化學
399,modulator enzyme,調節酶
400,modulator medicine,調節劑藥
401,optic nerve,視神經
402,optical coupler,光耦合器
403,optical frequency shifter,光移頻器
404,optical modulator,光調製器
405,optical splitter,分光器
406,optical splitting coupler,分光耦合器
407,optical splitting splitter,分光器
408,output coupler,輸出耦合器
409,output modulator,輸出調製器
410,piezoelectric,壓電
411,piezoelectric modulator,壓電調製器
412,sound signal,聲音信號
413,sound waves,聲波
414,acid groups,酸基
415,acid units,酸單位
416,acrylate,丙烯酸酯
417,acrylate functional groups,丙烯酸酯官能團
418,acrylate ion,丙烯酸根離子
419,acrylate monomers,丙烯酸酯單體
420,acrylate units,丙烯酸酯單元
421,acrylic acid,丙烯酸
422,aryl halide,芳基鹵化物
423,carbonyl carbon,羰基碳
424,carboxylic acid groups,羧酸基團
425,coametic,化妝品
426,comonomer,共聚單體
427,contained acrylate groups,含有丙烯酸酯基團
428,contained acrylate units,包含丙烯酸酯單元
429,contained functional groups,含有官能團
430,contained functional units,包含的功能單元
431,copolymerized acrylate groups,共聚丙烯酸酯基團
432,copolymerized acrylate units,共聚丙烯酸酯單元
433,copolymerized functional groups,共聚官能團
434,copolymerized functional units,共聚功能單元
435,copolymers,共聚物
436,ester group,酯基
437,functional acrylate,功能性丙烯酸酯
438,functional groups,官能團
439,group discussion,小組討論
440,group of students,一群學生
441,groups,團體
442,interpolymer invention,共聚體發明
443,maleic acid groups,馬來酸基團
444,medical group,醫療集團
445,methacrylate,甲基丙烯酸酯
446,methacrylate groups,甲基丙烯酸酯基團
447,methacrylate units,甲基丙烯酸酯單元
448,methyl acrylate,丙烯酸甲酯
449,methyl methacrylate,甲基丙烯酸甲酯
450,modified acrylates,改性丙烯酸酯
451,monomers,單體
452,nitro group,硝基
453,paper,紙
454,pendant group,挂件組
455,polymers,聚合物
456,prop 2 enoates,道具 2 烯酸
457,salts and esters,鹽和酯
458,sheet,床單
459,unsaturated groups,不飽和基團
460,unsaturated units,不飽和單元
461,vinyl group,乙烯基
462,absence,缺席
463,activator,活化劑
464,activator position,活化劑位置
465,activator site,活化劑位點
466,aperture,光圈
467,aperture position,光圈位置
468,aperture site,孔位
469,distal extended position,遠端伸展位置
470,distal extended state,遠端伸展狀態
471,distal position,遠端位置
472,distal state,遠端狀態
473,initial position,初始位置
474,intermediate position,中間位置
475,lancing,採血
476,lancing configuration,採血配置
477,lancing position,採血位置
478,opening,開幕
479,opening position,開倉
480,proximal distal position,近端遠端位置
481,proximal extended position,近端伸展位置
482,proximal extended state,近端伸展狀態
483,retracted position,縮回位置
484,retracted state,縮回狀態
485,use configuration,使用配置
486,use position,使用位置
487,activated grid position,激活的網格位置
488,activated position,激活位置
489,activating area,激活區
490,activating card,激活卡
491,activating location,激活位置
492,activating point,激活點
493,activating position,激活位置
494,activating powder,活化粉
495,activating spot,激活點
496,activation function in neural network,神經網絡中的激活函數
497,activation position,激活位置
498,cell position,單元格位置
499,closed configuration,封閉配置
0,closed position,關閉位置
1,conveyor chain,輸送鏈
2,extended position,伸展位置
3,heater tray,加熱器托盤
4,housing,住房
5,knotter operating mechanism,打結器操作機構
6,open configuration,打開配置
7,open point,開放點
8,operating position,操作位置
9,outer container,外容器
10,position of thyroid gland,甲狀腺的位置
11,producing a coil,生產線圈
12,protruding position,突出位置
13,sealed package,密封包裝
14,spinal cord position,脊髓位置
15,activated,活性
16,activating,激活
17,activating condition,激活條件
18,activating configuration,激活配置
19,activating positions,激活位置
20,activation,激活
21,activation condition,激活條件
22,activation configuration,激活配置
23,activation state,激活狀態
24,active material,活性物質
25,active region,活躍區域
26,active transport,主動運輸
27,active working location,活躍的工作地點
28,deactivating position,停用位置
29,designated port,指定港口
30,functional location,功能定位
31,geoposition,地理位置
32,initial operative position,初始操作位置
33,initial runner,初始賽跑者
34,initial symptoms,初期症狀
35,location finder,定位器
36,nodes,節點
37,operating positions,經營崗位
38,operative person,操作人員
39,protected link,受保護的鏈接
40,routing topology,路由拓撲
41,working position,工作位置
42,acetyl chloride,乙酰氯
43,acid functionalized acylate,酸官能化酰化物
44,acid with acyl introduction,酰基引入酸
45,acidity,酸度
46,acyl groups into acid,酰基變成酸
47,acylate,酰化
48,acylate with chloride,用氯化物酰化
49,acylating agent,酰化劑
50,acylation with acid,酸酰化
51,bouquet,花束
52,cellulose acylate films,纖維素酰化物薄膜
53,electrophile,親電體
54,fatty acids,脂肪酸
55,gastric acidity,胃酸
56,introduction session,介紹會
57,metal catalysts,金屬催化劑
58,modification,修改
59,produce cellulose acylate film,生產纖維素酰化物薄膜
60,self introduction,自我介紹
61,ulcer,潰瘍
62,adapt for training,適應訓練
63,adaptation of polar bear,北極熊的適應
64,adapted mind,適應的頭腦
65,adapted vehicle,改裝車輛
66,adapter,適配器
67,adaptive learning,適應性學習
68,adaptive learning communication,適應性學習交流
69,channel of communication,溝通渠道
70,charger,充電器
71,communication channels,溝通渠道
72,configured learning,配置學習
73,constructive learning,建設性學習
74,food adaptation,食物適應
75,language education,語言教育
76,language learning,語言學習
77,provided learning,提供學習
78,provided learnings,提供的學習
79,speech communication,言語交際
80,training,訓練
81,use for learning,用於學習
82,verbal communication,口頭交流
83,adaptive,自適應
84,adaptive behaviour,適應行為
85,adaptive equalizer,自適應均衡器
86,adaptive immunity,適應性免疫
87,adaptive linear structured light,自適應線性結構光
88,adaptive modular guideway,自適應模塊化導軌
89,adaptive radiation,適應性輻射
90,adaptive signal,自適應信號
91,adaptive skills,適應能力
92,adaptive structure,適應性結構
93,adjustable linear,可調線性
94,array,大批
95,array signal,陣列信號
96,artificial neural network,人工神經網絡
97,fixed pattern,固定模式
98,flexible linear,柔性線性
99,interpolation method,插值法
100,linear adaptive,線性自適應
101,linear call,線性調用
102,linear equation,線性方程
103,non linear adaptive,非線性自適應
104,self adaptive linear,自適應線性
105,three dimensional measurement,三維測量
106,time invariant filter,時不變濾波器
107,adapting,適應
108,adapting linear,適應線性
109,adaptive filter,自適應濾波器
110,adaptive linear combiner,自適應線性組合器
111,adaptive linear digital model,自適應線性數字模型
112,adaptive linear equalization,自適應線性均衡
113,adaptive linear filter,自適應線性濾波器
114,adaptive nature,適應性質
115,automatic linear,自動線性
116,dynamic linear,動態線性
117,equalizer,均衡器
118,linear contrast enhancement,線性對比度增強
119,linear graph,線性圖
120,linear model,線性模型
121,linear pair of angles,線性對角
122,linearly adaptive,線性自適應
123,mp tc,下午時間
124,non adaptive speckle filtering,非自適應散斑濾波
125,non linear model,非線性模型
126,recursion estimator,遞歸估計器
127,adhering mount,貼裝
128,adhesive,粘合劑
129,adhesive attachment,膠粘劑
130,adhesive bases,粘合劑基地
131,adhesive forces,附著力
132,adhesive layer,粘合層
133,adhesive mount,粘合劑安裝
134,bracket mount,支架安裝
135,cohesive mount,內聚安裝
136,fixation tape,固定帶
137,fixed mount,固定安裝
138,flange,法蘭
139,flange comprising including,法蘭包括
140,flange comprising mounting,法蘭包括安裝
141,flange including,法蘭包括
142,flange mounting,法蘭安裝
143,glue mounting,膠裝
144,lens mount,鏡頭卡口
145,mountain range,山脈
146,mounting,安裝
147,mounting a mountain,登上一座山
148,mounting bracket,安裝支架
149,mounting comprising including,安裝包括包括
150,mounting flange including,安裝法蘭包括
151,mounting flange mounting,安裝法蘭安裝
152,mounting glues,安裝膠
153,mounting needle,安裝針
154,mounting of file system,文件系統掛載
155,mounting using adhesives,使用粘合劑安裝
156,rapid drying,快速乾燥
157,releasable mounting,可拆卸安裝
158,removable adhesive mounting,可拆卸粘合劑安裝
159,screw mount,螺絲安裝
160,separate adhesive mounting,單獨的粘合劑安裝
161,sticking mount,貼裝
162,temporary mounting,臨時安裝
163,adjacent angles,相鄰角
164,adjacent front,相鄰的前面
165,adjacent lateral surface,相鄰側面
166,adjacent lateral surface area,相鄰側面面積
167,adjacent sides,相鄰邊
168,adjacent to mall,毗鄰商場
169,adjacent to office,毗鄰辦公室
170,adjacent to side,鄰邊
171,adjacent to station,靠近車站
172,area of the base,基地面積
173,arranged laterally,橫向排列
174,corresponding inwardly,內心對應
175,height,高度
176,inwardly,向內
177,lateral communication,橫向交流
178,lateral object,橫向物體
179,lateral speech,橫向語音
180,laterally,橫向
181,laterally adjacent,橫向相鄰
182,laterally on side,側邊
183,laterally positioned,橫向定位
184,longitudinally of laterally,縱向或橫向
185,longitudinally spaced laterally,縱向橫向間隔
186,opposite sides,對面
187,radius,半徑
188,respective inwardly,各自內心
189,respective outwardly,分別向外
190,spaced lateral sides,隔開的側面
191,spaced laterally,橫向間隔
192,upwardly,向上
193,abutting laterally,橫向鄰接
194,adjacent,鄰近的
195,adjacent buildings,相鄰建築物
196,adjacent channel interference,鄰道干擾
197,adjacent communications,相鄰通訊
198,adjacent laterally,橫向相鄰
199,adjacent nerves,相鄰神經
200,adjacent sideways,相鄰的側身
201,adjacent system,相鄰系統
202,adjoining laterally,橫向相鄰
203,awl tip portion,錐尖部分
204,closely,密切
205,contiguous laterally,橫向連續
206,cup units,杯子單位
207,immediately,立即地
208,insulated metal wire,絕緣金屬線
209,lateral,側
210,laterally restrained beam,橫向約束梁
211,separated laterally,橫向分離
212,successive circumferentially,沿圓周連續
213,successive closely,接連不斷
214,successively,依次
215,threading tool,穿線工具
216,welding coated stamped sections,焊接塗層沖壓部分
217,adjust bike speed,調整自行車速度
218,adjust flow,調整流量
219,adjust in bus,在公交車上調整
220,adjust space in home,調整家中空間
221,adjustment cost,調整成本
222,alter gas flow,改變氣流
223,alter the gas flow rate,改變氣體流速
224,block gas flow,阻止氣流
225,controlled gas flow,受控氣流
226,external,外部的
227,flower,花
228,gas,氣體
229,gas supply,供氣
230,moderate the gas flow rate,調節氣體流速
231,modify gas flow,修改氣流
232,modify the gas flow rate,修改氣體流速
233,pressure,壓力
234,pressurized supply,加壓供應
235,psychology,心理學
236,regulate gas flow,調節氣體流量
237,regulate the gas flow rate,調節氣體流量
238,supply gas,供氣
239,supply pressure,供給壓力
240,supplying gas,供氣
241,supplying pressure,供給壓力
242,supplying processing gas,供應處理氣體
243,supplying processing substrate,供應加工基板
244,supplying the gas,供氣
245,supplying the substrate,供應基板
246,transfer,轉移
247,transferring processing gas,轉移處理氣體
248,transferring processing substrate,傳送處理基板
249,transferring the gas,轉移氣體
250,transferring the substrate,轉移基板
251,water pressure,水壓力
252,adjust fan,調整風扇
253,adjust gas flow rate,調整氣體流量
254,adjustable table,可調表
255,adjusting fluid flow,調節流體流量
256,altering gas flow,改變氣流
257,calibrating adjustment,校準調整
258,changing gas flow,改變氣體流量
259,control graph,控製圖
260,control instruments,控制儀表
261,control valve,控制閥
262,controlling gas flow,控制氣流
263,flow chart,流程圖
264,flow meter,流量計
265,flowing gas,流動的氣體
266,gas flow,氣流
267,gas pressure adjustment,氣壓調節
268,gas regulator,氣體調節器
269,measuring unit,測量單元
270,regulating unit,調節單元
271,regulator,調節器
272,adjustable,可調節的
273,adjustable multi,可調多
274,adjustable multiple,可調倍數
275,adjustable multiple angles,多角度可調
276,adjustable multiple blades,可調節多個刀片
277,adjustable screen brightness,屏幕亮度可調
278,adjustable shunt regulator,可調並聯穩壓器
279,adjustable wifi router,可調wifi路由器
280,adjusted multiple,調整倍數
281,aim adjustable multiple,目標可調倍數
282,composite material workpiece,複合材料工件
283,electronic conductor plates,電子導體板
284,fixed multiple blades,固定多個刀片
285,flexible multiple,彈性倍數
286,grip,緊握
287,improved,改善
288,improved boring,改進的無聊
289,improved cutting,改進的切割
290,interchangeable,可互換
291,multiple adjustable,多重可調
292,multiple adjustment,多重調整
293,multiple alterable,多變
294,multiple cancer,多發性癌症
295,multiple disease of the brain spinal cord,腦脊髓多發性疾病
296,multiple fixed,多個固定
297,multiple lanes,多車道
298,multiple modifiable,多重可修改
299,sliding panel,滑動面板
300,various adjustments,各種調整
301,adaptable multiple,適應性多
302,adjustable eye patch,可調節眼罩
303,changeable multiple,可變倍數
304,fixed multiple,固定倍數
305,hand machine tool,手動工具機
306,impact mechanism device,衝擊機構裝置
307,multiple personality disorder,多重人格障礙
308,multiple sclerosis,多發性硬化症
309,adding cool effects,添加很酷的效果
310,aesthetic objects,審美對象
311,aesthetic values,審美價值
312,aesthetically pleasing,美觀
313,animation software,動畫軟件
314,artificial sources of aesthetic,審美的人工來源
315,beautiful design,漂亮的設計
316,beautiful effect,漂亮的效果
317,beautiful effects,美麗的效果
318,beauty,美麗
319,branch of philosophy,哲學分支
320,colorful effect,多彩效果
321,colorful effects,多彩的效果
322,colorful flash,七彩閃光
323,culture and nature,文化與自然
324,effective communication,有效溝通
325,effects of air pollution,空氣污染的影響
326,effects of smoking,吸煙的影響
327,effects of soil pollution,土壤污染的影響
328,effects of water pollution,水污染的影響
329,esthetics effects,美學效果
330,interesting effects,有趣的效果
331,interesting flash,有趣的閃光
332,ornamental,裝飾
333,reflection on art,對藝術的反思
334,side effects,副作用
335,sound mixing,混音
336,video effects,視頻效果
337,visual effects,視覺效果
338,aesthetic effect,審美效果
339,anesthesia course,麻醉課程
340,butterfly effect,蝴蝶效應
341,color mixing,混色
342,cosmetic effect,美容效果
343,cosmetic effects,美容效果
344,dyeability,染色性
345,effective rainfall,有效降雨
346,effects,效果
347,fabric,織物
348,fabric aesthetic effect,織物美學效果
349,fiber brightness,纖維亮度
350,fiber size,纖維尺寸
351,film like effects,電影般的效果
352,force effect,力效應
353,good appearance,良好的外觀
354,greenhouse effect,溫室效應
355,high quality,高質量
356,image filtering effects,圖像過濾效果
357,manufacture,生產
358,mass effect,質量效應
359,results,結果
360,textile,紡織品
361,video editing tools,視頻編輯工具
362,agitate by means,用手段攪動
363,agitated depression,激動的抑鬱症
364,agitating means,攪動手段
365,agitating technology,攪拌技術
366,apparatus,儀器
367,bipolar disorder,躁鬱症
368,blending means,混合裝置
369,churning means,攪動意味著
370,means end analysis,意味著結束分析
371,mixing means,混合裝置
372,mixing rod,攪拌棒
373,motion,運動
374,movement disorder,運動障礙
375,muscle shivering,肌肉顫抖
376,parkinson,帕金森
377,rotating,旋轉
378,shaking,搖晃
379,shaking means,搖晃的意思
380,stirring means,攪拌裝置
381,suspend particles,懸浮粒子
382,vibration means,振動裝置
383,agitate means,攪動的意思
384,agitated person,激動的人
385,agitation device,攪拌裝置
386,blend means,混合手段
387,blending system,混合系統
388,blood collection means,採血裝置
389,blood pressure means,血壓是什麼意思
390,brick products,磚製品
391,coloring paste,色漿
392,fuel pumping means,燃油泵送裝置
393,gas purification filter,氣體淨化過濾器
394,hexagonal brick forming device,六角磚成型裝置
395,nervous agitation,神經激動
396,reading means,閱讀手段
397,stir means,攪拌裝置
398,thin film solar cell,薄膜太陽能電池
399,vibrator,振動器
400,air breathing fish,呼吸空氣的魚
401,air chamber,氣室
402,air discharge path,排氣路徑
403,air discharge side,排氣側
404,air flow,空氣流動
405,air flow conduit,氣流導管
406,air flow line,空氣流線
407,air flow lines,空氣流線
408,air flow pipe,氣流管
409,air line,空氣線
410,air outlet line,出風口線
411,air passage,空氣通道
412,air passage line,空氣通道線
413,air pollution,空氣污染
414,air side,空氣側
415,air spring,空氣彈簧
416,air supply conduit,供氣管道
417,air supply line,供氣管路
418,air supply lines,供氣管線
419,air supply path,供氣路徑
420,air supply side,供氣側
421,blood flow through the heart,血液流過心臟
422,boat stabilizer,船用穩定器
423,flow,流動
424,flow line,流線
425,flow lines,流線
426,flow supply line,流量供應線
427,flowchart,流程圖
428,fluid flow line,流體流線
429,gas discharge path,氣體放電路徑
430,gas discharge side,排氣側
431,gas flow line,氣體流線
432,gas passage,氣體通道
433,gas side,氣側
434,gas spring,氣泉水
435,gas supply path,供氣路徑
436,gas supply side,供氣側
437,lifeboat,救生艇
438,line spectrum,線譜
439,numerical lifting line,數值提升線
440,passage line system,通道系統
441,pneumatic flow line,氣動流線
442,shallow draft floating vessel,淺吃水浮船
443,supply unit,供應單元
444,three controllable hydrofoil displacement boat,三可控水翼排水艇
445,water absorbent resin,吸水性樹脂
446,air current flow,氣流
447,air falls in the lungs,空氣進入肺部
448,air flow component,氣流分量
449,air flow into line card,空氣流入線卡
450,air flow pathline,氣流路徑
451,air india,印度水
452,air thrissur,氣刺
453,air ticket,飛機票
454,airstream line,氣流線
455,blower,鼓風機
456,circulating flow,循環流量
457,circulating velocity,循環速度
458,flow of the fluid,流體的流動
459,flow system,流動系統
460,flow velocity,流速
461,hydrostatic piston,靜壓活塞
462,hypercube line graph structure,超立方體線圖結構
